Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2,Cluster
1814,ANACARDIACEAE,122.0,1882,Eudicot,2.550450086593628,9.097309112548828,3.2294171700632432,1.5271356430653211,-0.4499999999999999,5.510910596163089e-17,0
1694,PINACEAE,115.0,1882,Pinopsida,2.782436847686768,9.205079078674316,4.27364624777897,1.0601354387522406,-8.266365894244633e-17,-0.4499999999999999,0
16574,PINACEAE,75.0,1883,Pinopsida,2.1826953887939453,9.024028778076172,3.878854178210986,1.4452461056102948,0.4999999999999999,0.0,0
16574,PINACEAE,75.0,1883,Pinopsida,2.1826953887939453,9.024028778076172,3.84486493184545,1.3995315570459752,0.4729086208503172,0.1623497346023417,0
14234,ROSACEAE,118.0,1883,Eudicot,2.398202657699585,9.104325294494627,2.4077939635621988,2.2442148083468965,0.3945702546981968,0.3071063563448338,0
16574,PINACEAE,75.0,1883,Pinopsida,2.1826953887939453,9.024028778076172,3.858748303424818,1.44232825949166,0.2734740790612134,0.4185832391312642,0
14234,ROSACEAE,118.0,1883,Eudicot,2.398202657699585,9.104325294494627,2.332789443905085,2.004832490467834,0.1227427435703996,0.4847001329696651,0
14234,ROSACEAE,118.0,1883,Eudicot,2.398202657699585,9.104325294494627,2.5672309506705915,2.019048032729188,-0.0412896727361661,0.4982922465033348,0
14693,HAMAMELIDACEAE,56.0,1883,Eudicot,2.5619235038757324,9.076897621154783,2.6519974186942363,1.4906038493013511,-0.2008477123264846,0.4578866633275287,0
16574,PINACEAE,75.0,1883,Pinopsida,2.1826953887939453,9.024028778076172,3.87077713067265,1.382826634684989,-0.3386407858128704,0.3678619553365658,0
16574,PINACEAE,75.0,1883,Pinopsida,2.1826953887939453,9.024028778076172,3.9470008726575534,1.322017850832253,-0.4397368756032444,0.2379736965185368,0
1936,PINACEAE,58.0,1883,Pinopsida,2.5295300483703613,9.115242004394531,5.094028125457498,1.0478599996768023,-0.4931806517013611,0.082297295140367,0
13126,CORNACEAE,63.0,1883,Monocot,1.1577699184417725,8.689589500427246,1.2362428971498505,2.578487343397228,-0.4931806517013611,-0.0822972951403668,2
14693,HAMAMELIDACEAE,56.0,1883,Eudicot,2.5619235038757324,9.076897621154783,1.2933036552419708,2.787639919909452,-0.4397368756032445,-0.2379736965185367,0
12630,ROSACEAE,117.0,1883,Eudicot,2.236130952835083,8.748305320739746,2.016181387426741,4.33321404958815,-0.3386407858128706,-0.3678619553365655,0
1948,PINACEAE,125.0,1883,Pinopsida,2.3626272678375244,9.269071578979492,4.442845183254121,1.2309328021497097,-0.2008477123264849,-0.4578866633275286,0
