Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2
11330,ROSACEAE,15.0,1920,Eudicot,4.192841529846191,8.569392204284668,3.1164572070536,-0.1421282240748951,-2.3,2.816687638038912e-16
123-85,HAMAMELIDACEAE,14.0,1985,Eudicot,4.294075012207031,8.480640411376953,4.220262379720907,2.2006354612958603,-3.8457840066071225,4.001555369418838
100-94,PINACEAE,13.0,1994,Pinopsida,2.079378366470337,8.999781608581543,2.4902772131413258,1.6585081290536436,-2.582247026623369,5.415902537296494
1020-83,ROSACEAE,26.0,1983,Eudicot,2.486449718475342,7.480396270751953,0.9871404462121518,3.209390435021305,4.784584989627718,-2.609644894814044
488-88,PINACEAE,6.0,1988,Pinopsida,2.100090980529785,9.297513961791992,4.562280432695388,1.7122487242418174,-4.2574998705923965,-3.789946550006423
1348-85,PINACEAE,11.0,1985,Pinopsida,4.061006546020508,8.79133415222168,4.677263141780713,1.556437541631567,3.612805755824025,4.213090857159939
12-97,ROSACEAE,3.0,1997,Eudicot,4.380650997161865,8.783005714416504,4.46870740214581,-0.3844591535907966,-4.895972354089697,3.721821423441649
5215,ROSACEAE,90.0,1902,Eudicot,0.8862217664718628,8.843195915222168,1.8465912627682428,4.63912641089064,-1.3889605818402695,0.1754665269900258
577-51,CORNACEAE,51.0,1951,Monocot,3.833690643310547,8.414610862731934,2.306948850965909,4.416981408808624,-0.996453323644703,3.718814431212908
2153-98,PINACEAE,11.0,1998,Pinopsida,2.0228638648986816,10.001190185546877,2.440786013896286,0.9049703319064974,-1.959611008647904,5.882170066802368
2214-98,PINACEAE,10.0,1998,Pinopsida,2.33867621421814,11.954776763916016,2.202420120261422,0.8863328101356274,-1.813519372107144,-5.928840315524777
1277-61,PINACEAE,50.0,1961,Pinopsida,2.339303731918335,9.007000923156738,3.925971330043012,1.26823823597897,0.8850336567789533,-4.259015781418098
804-33,PINACEAE,9.0,1933,Pinopsida,2.424518823623657,9.113346099853516,4.793644808757108,0.7685181598180861,-5.419062086227033e-16,-2.949999999999997
546-89,TAXACEAE,9.0,1989,Pinopsida,2.343968629837036,9.193655014038086,3.3947883145394826,1.09536345016204,-2.736697509963167,5.0569740694373015
623-87,ROSACEAE,4.0,1987,Eudicot,2.4776947498321533,9.210917472839355,0.5263287133032009,2.7647620102156907,-3.699963146790852,4.269985095101551
2090-98,PINACEAE,7.0,1998,Pinopsida,0.498155415058136,7.40009069442749,2.541369692936541,0.7978842157317558,5.474675037509891,2.909971345849629
462-80,PINACEAE,26.0,1980,Pinopsida,2.2176263332366943,8.9512300491333,3.6079374033759,-1.724876846567895,-2.37709617733451,4.737025835236868
11300,ANACARDIACEAE,20.0,1920,Eudicot,2.4531378746032715,7.376777648925781,2.660594930471916,2.10817722028196,-2.268630997826261,0.3785675576456882
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.7242769696968026,1.0435547039901394,0.9931081037856666,-0.340934442664918
7531,ROSACEAE,80.0,1914,Eudicot,3.9221699237823486,8.419923782348633,5.212269142524065,-0.3339939598322416,0.8308300260037724,-1.819263990709038
1465-80,ANACARDIACEAE,27.0,1980,Eudicot,2.966766357421875,8.443519592285156,1.832255188221552,3.685461587766895,4.221233607695745,-3.204869237466617
2886-98,PINACEAE,4.0,1998,Pinopsida,1.83316707611084,10.354716300964355,2.805652110586152,0.8366911565858572,1.2565303090376745,-6.071336885931262
1162-80,ROSACEAE,16.0,1980,Eudicot,4.057844161987305,8.615814208984375,0.4624428092004109,2.7433957376665603,5.140812295062181,-1.289204773081993
56-98,ELAEAGNACEAE,5.0,1998,Eudicot,2.5959951877593994,9.234729766845703,2.927588760152048,3.12976891607741,6.198933000866012,0.1150202189796634
2175-98,PINACEAE,11.0,1998,Pinopsida,2.012967586517334,9.062857627868652,2.6037744605694115,0.908056637963,1.5923294151405378,5.992035299769021
2206-98,PINACEAE,12.0,1998,Pinopsida,2.170281171798706,9.39441204071045,2.1365042614663707,0.9160665514341416,0.3831783734525205,6.188147892069008
1043-74,PINACEAE,16.0,1974,Pinopsida,4.2167253494262695,8.604084968566895,3.216260910584424,-0.7653365611263325,-4.045084971874729,-2.9389262614623592
1147-83,ROSACEAE,27.0,1983,Eudicot,4.036412715911865,8.646892547607422,0.5157632411883242,3.0118169465145,2.950826980906772,-4.582043226416846
379-92,TAXODIACEAE,5.0,1992,Pinopsida,2.0596189498901367,8.807260513305664,1.7339734701347425,1.0541072744413214,5.306490984241577,2.5789830232404984
240-2001,PINACEAE,7.0,2001,Pinopsida,2.47440242767334,9.415331840515137,3.5834505941659245,1.922411685166935,-2.3787518681910376,-5.887617476499086
16-87,ARALIACEAE,22.0,1987,Eudicot,2.5871503353118896,9.136383056640623,5.138240673532437,0.0202750321500388,3.15094096847558,4.689783685116194
11372,PINACEAE,43.0,1918,Pinopsida,2.324402332305908,9.120052337646484,4.716683382025167,0.0612839582195192,0.2029903908192644,2.190615187849076
151-42,ROSACEAE,8.0,1942,Eudicot,4.324461936950684,8.567024230957031,3.062661004416441,-0.3503739683610547,2.342487524857331,-2.464295476579005
1476,PINACEAE,80.0,1874,Pinopsida,2.332364082336426,9.095956802368164,4.061243494079463,1.1343497314564956,-0.1801937735804838,0.0867767478235116
228-37,ROSACEAE,16.0,1937,Eudicot,1.9944833517074585,8.762842178344727,2.972006994915773,-0.2221185539710859,-1.5749999999999995,-2.727980021920978
